,open,high,low,close,volume
1999-12-31,45.0,66.44,42.63,60.06,165667400.0
2000-01-31,70.0,76.5,57.69,63.69,249637000.0
2000-02-29,64.75,75.0,61.88,68.19,197030800.0
2000-03-31,67.0,67.88,51.06,61.38,353739500.0
2000-04-28,61.0,64.38,50.0,56.0,215305700.0
2000-05-31,57.0,65.19,52.88,63.63,147977200.0
2000-06-30,63.94,70.88,60.0,70.25,141961800.0
2000-07-31,69.69,80.44,64.75,64.94,161431700.0
2000-08-31,65.31,76.63,65.0,75.81,132864800.0
2000-09-29,76.56,76.63,64.13,69.83,150337500.0
2000-10-31,70.31,72.63,51.39,57.94,203748500.0
2000-11-30,58.31,69.13,57.69,63.63,159921500.0
2000-12-29,65.19,70.75,58.0,63.94,140520800.0
2001-01-31,65.88,72.38,54.25,70.31,249693200.0
2001-02-28,69.81,75.06,67.88,72.06,161677800.0
2001-03-30,71.69,74.13,45.44,60.19,268856100.0
2001-04-30,59.38,62.25,50.31,61.14,241695100.0
2001-05-31,61.01,67.6,57.0,66.38,164791500.0
2001-06-29,66.67,70.6,59.5,60.68,159587600.0
2001-07-31,61.7,63.4,53.46,62.71,180682200.0
2001-08-31,63.1,65.6,58.3,64.3,147304600.0
2001-09-28,63.8,66.25,54.81,58.77,175913400.0
2001-10-31,58.74,63.18,55.15,56.82,202266800.0
2001-11-30,57.39,67.42,55.26,66.43,195020000.0
2001-12-31,66.78,69.0,55.0,56.44,291304400.0
2002-01-31,56.9,58.85,53.28,55.5,246841300.0
2002-02-28,58.08,59.95,55.8,57.98,210091200.0
2002-03-28,58.17,62.94,57.01,59.68,178321700.0
2002-04-30,61.48,61.48,50.95,52.88,228755600.0
2002-05-31,52.82,52.99,45.43,47.63,281297700.0
2002-06-28,47.47,48.28,36.73,41.88,368984100.0
2002-07-31,41.45,46.65,30.57,45.64,501721000.0
2002-08-30,45.79,48.92,41.99,45.03,287418500.0
2002-09-30,44.94,47.09,39.12,41.7,295894000.0
2002-10-31,42.11,52.0,41.98,46.58,414414900.0
2002-11-29,46.7,50.36,43.9,47.2,299496500.0
2002-12-31,48.91,53.02,46.56,48.34,293776400.0
2003-01-31,48.34,53.7,48.09,50.96,287503700.0
2003-02-28,51.06,54.7,50.7,54.64,203302200.0
2003-03-31,54.75,59.06,53.58,57.55,239294000.0
2003-04-30,57.92,64.45,56.9,61.3,226554800.0
2003-05-30,61.27,64.9,59.35,64.74,223201700.0
2003-06-30,65.04,67.54,62.45,65.94,211576600.0
2003-07-31,65.49,72.37,64.71,69.43,191832300.0
2003-08-29,69.33,69.82,64.55,65.94,139621500.0
2003-09-30,65.91,70.14,63.61,64.52,179144500.0
2003-10-31,64.875,67.5,59.03,61.76,249375800.0
2003-11-28,62.28,62.35,57.1,57.62,200888100.0
2003-12-31,57.79,62.37,56.76,61.79,182782000.0
2004-01-30,62.07,65.73,61.1,64.66,199243300.0
2004-02-27,64.51,66.88,63.0,63.529,133456300.0
2004-03-31,64.02,64.85,57.79,58.15,240193900.0
2004-04-30,58.19,60.8,56.26,56.41,214208400.0
2004-05-28,57.4991,58.95,53.26,54.7,181347100.0
2004-06-30,54.44,56.32,52.15,54.57,168609300.0
2004-07-30,54.88,57.84,53.22,56.88,178384000.0
2004-08-31,56.791,59.91,53.17,59.29,160223000.0
2004-09-30,58.83,60.45,56.36,56.81,157877100.0
2004-10-29,57.2,58.45,52.0,56.8,169680700.0
2004-11-30,56.78,61.09,54.84,60.04,163983100.0
2004-12-31,60.01,64.93,59.98,64.15,136200900.0
2005-01-31,64.2,65.24,60.17,62.24,160930900.0
2005-02-28,61.99,64.17,60.46,61.61,130645900.0
2005-03-31,61.49,62.7,57.63,58.21,159715900.0
2005-04-29,58.58,60.96,56.19,58.21,169032900.0
2005-05-31,58.04,63.01,57.9399,62.58,156577400.0
2005-06-30,62.95,63.51,59.5,60.46,132666100.0
2005-07-29,60.46,83.1,60.26,79.77,318208900.0
2005-08-31,79.74,84.02,78.09,79.9,163447900.0
2005-09-30,79.64,86.92,78.22,79.67,181586800.0
2005-10-31,79.64,81.9,73.13,75.62,204653900.0
2005-11-30,75.25,84.5,73.84,80.93,146131000.0
2005-12-30,81.8,82.08,76.7,78.86,135795700.0
2006-01-31,79.36,81.24,70.65,72.89,213882600.0
2006-02-28,79.81,80.03,70.03,75.48,275114000.0
2006-03-31,75.79,76.88,71.35,72.75,172605900.0
2006-04-28,73.43,73.5,65.99,67.7,206289000.0
2006-05-31,67.83,69.91,65.14,67.59,189529700.0
2006-06-30,67.56,69.45,63.75,65.23,190710300.0
2006-07-31,65.79,70.46,63.52,69.71,167205600.0
2006-08-31,69.21,71.49,64.96,68.03,160899800.0
2006-09-29,68.21,72.57,67.25,71.53,161279300.0
2006-10-31,71.4,77.0,70.08,75.91,190799500.0
2006-11-30,76.0,76.09,70.68,71.04,147995700.0
2006-12-29,70.81,71.99,67.88,68.31,153834300.0
2007-01-31,68.425,76.95,67.85,70.37,212890500.0
2007-02-28,70.19,70.49,63.86,64.26,253296200.0
2007-03-30,62.4,63.15,55.13,55.88,391466400.0
2007-04-30,56.19,64.4,55.45,64.14,340676700.0
2007-05-31,64.4,66.06,52.36,56.45,431378800.0
2007-06-29,56.52,59.31,54.62,55.29,263290100.0
2007-07-31,55.4,57.73,53.68,53.74,238009800.0
2007-08-31,52.46,52.67,48.3,50.11,277299200.0
2007-09-28,50.27,57.74,50.11,56.57,232052800.0
2007-10-31,56.38,59.08,55.06,58.11,207748600.0
2007-11-30,57.89,58.48,52.57,55.25,201623100.0
2007-12-31,53.7,55.53,46.21,46.44,211544200.0
2008-01-31,46.6,48.91,43.93,46.59,267914100.0
2008-02-29,46.31,48.2,43.72,45.52,189521500.0
2008-03-31,45.59,48.55,39.16,41.78,277524300.0
2008-04-30,42.11,44.74,41.2,41.87,168997300.0
2008-05-30,42.19,44.16,41.58,44.03,146053300.0
2008-06-30,44.0,47.41,42.9,47.16,196861000.0
2008-07-31,46.9,64.0,46.8456,62.63,342075000.0
2008-08-29,62.45,65.6,61.72,62.85,190896300.0
2008-09-30,63.46,66.51,55.4989,59.27,278638317.0
2008-10-31,58.89,61.56,45.0,59.89,321543900.0
2008-11-28,60.47,62.46,50.09,55.54,213147400.0
2008-12-31,54.94,60.0,53.5,57.75,170391200.0
2009-01-30,58.586,60.15,52.45,54.85,162946300.0
2009-02-27,54.42,58.89,48.78,48.93,174995700.0
2009-03-31,48.3,52.82,45.73,49.52,223603000.0
2009-04-30,48.78,51.76,44.96,48.47,192798800.0
2009-05-29,48.48,51.0,46.46,49.94,144012900.0
2009-06-30,50.45,53.85,49.21,52.94,213644400.0
2009-07-31,53.5,64.5,50.65,62.31,253008800.0
2009-08-31,62.42,64.76,59.15,59.78,177373500.0
2009-09-30,59.61,62.515,57.64,60.23,133292100.0
2009-10-30,60.15,61.85,52.91,53.62,181328600.0
2009-11-30,52.86,57.73,51.72,56.35,128244200.0
2009-12-31,56.38,57.92,54.12,56.57,111114000.0
2010-01-29,56.63,58.93,54.65,58.48,147814700.0
2010-02-26,58.52,59.42,55.78,56.61,147007200.0
2010-03-31,56.74,60.39,56.21,59.8375,148566600.0
2010-04-30,59.95,61.26,57.03,57.31,127358100.0
2010-05-28,57.45,57.95,50.32,51.78,149573800.0
2010-06-30,51.72,58.32,50.75,52.6,206349700.0
2010-07-30,52.59,55.06,50.56,54.53,128291300.0
2010-08-31,55.25,56.135,50.26,51.04,109208600.0
2010-09-30,51.61,56.84,51.28,55.11,110030600.0
2010-10-29,55.57,58.74,54.16,57.19,128032300.0
2010-11-30,57.02,57.95,52.19,52.69,122791300.0
2010-12-31,53.32,57.98,52.98,54.9,159481100.0
2011-01-31,55.2,58.19,54.85,55.08,120211100.0
2011-02-28,55.23,55.88,50.61,51.33,122824700.0
2011-03-31,52.17,54.7,51.34,53.45,144456600.0
2011-04-29,53.94,57.29,52.76,56.85,162997100.0
2011-05-31,56.98,61.53,56.67,60.54,127535000.0
2011-06-30,60.55,60.79,56.73,58.35,113874400.0
2011-07-29,58.44,58.44,53.05,54.7,109669200.0
2011-08-31,55.02,55.61,47.6607,55.405,204584100.0
2011-09-30,55.8299,57.84,52.5,54.96,125409800.0
2011-10-31,54.66,59.05,52.85,57.27,118046700.0
2011-11-30,56.42,58.61,54.59,57.91,177258600.0
