horizon,actual,predicted_lasso,predicted_ridge,abs_error_lasso,abs_error_ridge
1,314.26,310.0105316911434,309.15204789877305,4.249468308856592,5.107952101226942
2,273.83,307.930853615813,316.08919258595057,34.10085361581304,42.259192585950586
3,284.32,305.61653625628577,322.1029133166827,21.296536256285776,37.78291331668271
4,273.94,306.47177965001293,327.2032537733989,32.531779650012936,53.2632537733989
5,305.85,306.70948507338284,329.6922883696378,0.8594850733828139,23.8422883696378
6,312.45,306.53790073775957,331.56727332131595,5.912099262240417,19.117273321315963
7,332.47,306.5307379666609,332.95596182787983,25.939262033339105,0.48596182787980524
8,333.83,306.55901349488624,333.76650838750817,27.27098650511374,0.06349161249181634
9,322.21,306.55528450025577,334.3411278448531,15.654715499744214,12.131127844853097
10,320.16,306.551490135899,334.74285163070505,13.608509864101052,14.582851630705022
11,282.87,306.5527296690125,334.99677603340933,23.682729669012474,52.12677603340933
12,260.64,306.55311198605915,335.1717960987899,45.913111986059164,74.53179609878993
13,285.42,306.5528515276495,335.2912881358151,21.132851527649507,49.871288135815064
14,308.06,306.55283636663967,335.36950230527657,1.507163633360335,27.309502305276567
15,311.55,306.5528798727162,335.422701498925,4.997120127283836,23.872701498924982
16,290.92,306.552874759273,335.4586791064912,15.632874759272966,44.5386791064912
17,288.18,306.552868809241,335.48258849718974,18.37286880924097,47.30258849718973
18,279.21,306.55287063698955,335.4987495270329,27.342870636989574,56.288749527032905
19,295.1,306.55287125636715,335.50963828322296,11.452871256367132,40.40963828322293
20,287.71,306.55287086270715,335.516922143959,18.842870862707173,47.806922143959014
21,282.2,306.5528708332673,335.5218310727223,24.352870833267332,53.32183107272232
22,298.43,306.5528709001464,335.52513380888627,8.122870900146381,37.09513380888626
23,345.46,306.5528708932488,335.5273493643726,38.9071291067512,9.932650635627397
24,337.49,306.5528708839363,335.52884048847363,30.937129116063716,1.9611595115263754
