horizon,mae
1,5.7474775823144455
2,21.101653481525517
3,22.524533015746595
4,26.029393508631927
5,21.79853193237212
6,18.463927747011848
7,18.940557030974478
8,19.465657047952256
9,18.58315056673442
10,17.672276211641485
11,18.594479980897372
12,21.215495070403154
13,21.52711359167467
14,20.177073593534125
15,18.88949710876129
16,18.944314071666888
17,19.153858363498106
18,19.838453358833
19,19.61466993514294
20,19.782764845025547
21,20.19723167001342
22,19.83629242096378
23,20.485733264324402
24,20.748970704118957
