,open,high,low,close,volume,Year,Month,close_t-1,volume_t-1,close_t-2,volume_t-2,close_t-3,volume_t-3
2000-03-31,67.0,67.88,51.06,62.005979044157726,353739500.0,2000,3,64.29963636975287,197030800.0,63.54632105295751,249637000.0,61.6148064025988,165667400.0
2000-04-28,61.0,64.38,50.0,60.65247031274647,215305700.0,2000,4,62.005979044157726,353739500.0,64.29963636975287,197030800.0,63.54632105295751,249637000.0
2000-05-31,57.0,65.19,52.88,63.40988432334079,147977200.0,2000,5,60.65247031274647,215305700.0,62.005979044157726,353739500.0,64.29963636975287,197030800.0
2000-06-30,63.94,70.88,60.0,66.85100261550502,141961800.0,2000,6,63.40988432334079,147977200.0,60.65247031274647,215305700.0,62.005979044157726,353739500.0
2000-07-31,69.69,80.44,64.75,68.97709059752475,161431700.0,2000,7,66.85100261550502,141961800.0,63.40988432334079,147977200.0,60.65247031274647,215305700.0
2000-08-31,65.31,76.63,65.0,70.35556912196742,132864800.0,2000,8,68.97709059752475,161431700.0,66.85100261550502,141961800.0,63.40988432334079,147977200.0
2000-09-29,76.56,76.63,64.13,67.77617935883951,150337500.0,2000,9,70.35556912196742,132864800.0,68.97709059752475,161431700.0,66.85100261550502,141961800.0
2000-10-31,70.31,72.63,51.39,63.57200852916383,203748500.0,2000,10,67.77617935883951,150337500.0,70.35556912196742,132864800.0,68.97709059752475,161431700.0
2000-11-30,58.31,69.13,57.69,63.114654952304576,159921500.0,2000,11,63.57200852916383,203748500.0,67.77617935883951,150337500.0,70.35556912196742,132864800.0
2000-12-29,65.19,70.75,58.0,65.53150617844301,140520800.0,2000,12,63.114654952304576,159921500.0,63.57200852916383,203748500.0,67.77617935883951,150337500.0
2001-01-31,65.88,72.38,54.25,68.18898848804865,249693200.0,2001,1,65.53150617844301,140520800.0,63.114654952304576,159921500.0,63.57200852916383,203748500.0
2001-02-28,69.81,75.06,67.88,67.67041159568058,161677800.0,2001,2,68.18898848804865,249693200.0,65.53150617844301,140520800.0,63.114654952304576,159921500.0
2001-03-30,71.69,74.13,45.44,64.19225794534094,268856100.0,2001,3,67.67041159568058,161677800.0,68.18898848804865,249693200.0,65.53150617844301,140520800.0
2001-04-30,59.38,62.25,50.31,62.79120051900922,241695100.0,2001,4,64.19225794534094,268856100.0,67.67041159568058,161677800.0,68.18898848804865,249693200.0
2001-05-31,61.01,67.6,57.0,63.21594207328217,164791500.0,2001,5,62.79120051900922,241695100.0,64.19225794534094,268856100.0,67.67041159568058,161677800.0
2001-06-29,66.67,70.6,59.5,62.76109301321103,159587600.0,2001,6,63.21594207328217,164791500.0,62.79120051900922,241695100.0,64.19225794534094,268856100.0
2001-07-31,61.7,63.4,53.46,62.5560538685716,180682200.0,2001,7,62.76109301321103,159587600.0,63.21594207328217,164791500.0,62.79120051900922,241695100.0
2001-08-31,63.1,65.6,58.3,61.995045116492264,147304600.0,2001,8,62.5560538685716,180682200.0,62.76109301321103,159587600.0,63.21594207328217,164791500.0
2001-09-28,63.8,66.25,54.81,60.26127429656122,175913400.0,2001,9,61.995045116492264,147304600.0,62.5560538685716,180682200.0,62.76109301321103,159587600.0
2001-10-31,58.74,63.18,55.15,60.02145235381642,202266800.0,2001,10,60.26127429656122,175913400.0,61.995045116492264,147304600.0,62.5560538685716,180682200.0
2001-11-30,57.39,67.42,55.26,60.63537430380009,195020000.0,2001,11,60.02145235381642,202266800.0,60.26127429656122,175913400.0,61.995045116492264,147304600.0
2001-12-31,66.78,69.0,55.0,58.758765488749404,291304400.0,2001,12,60.63537430380009,195020000.0,60.02145235381642,202266800.0,60.26127429656122,175913400.0
2002-01-31,56.9,58.85,53.28,57.13697123849315,246841300.0,2002,1,58.758765488749404,291304400.0,60.63537430380009,195020000.0,60.02145235381642,202266800.0
2002-02-28,58.08,59.95,55.8,57.42203073265547,210091200.0,2002,2,57.13697123849315,246841300.0,58.758765488749404,291304400.0,60.63537430380009,195020000.0
2002-03-28,58.17,62.94,57.01,56.65274472014196,178321700.0,2002,3,57.42203073265547,210091200.0,57.13697123849315,246841300.0,58.758765488749404,291304400.0
2002-04-30,61.48,61.48,50.95,52.91545875492144,228755600.0,2002,4,56.65274472014196,178321700.0,57.42203073265547,210091200.0,57.13697123849315,246841300.0
2002-05-31,52.82,52.99,45.43,48.08677157799098,281297700.0,2002,5,52.91545875492144,228755600.0,56.65274472014196,178321700.0,57.42203073265547,210091200.0
2002-06-28,47.47,48.28,36.73,45.02599597993418,368984100.0,2002,6,48.08677157799098,281297700.0,52.91545875492144,228755600.0,56.65274472014196,178321700.0
2002-07-31,41.45,46.65,30.57,44.515642469806124,501721000.0,2002,7,45.02599597993418,368984100.0,48.08677157799098,281297700.0,52.91545875492144,228755600.0
2002-08-30,45.79,48.92,41.99,44.308085393639175,287418500.0,2002,8,44.515642469806124,501721000.0,45.02599597993418,368984100.0,48.08677157799098,281297700.0
2002-09-30,44.94,47.09,39.12,44.22851999512866,295894000.0,2002,9,44.308085393639175,287418500.0,44.515642469806124,501721000.0,45.02599597993418,368984100.0
2002-10-31,42.11,52.0,41.98,45.57623505313285,414414900.0,2002,10,44.22851999512866,295894000.0,44.308085393639175,287418500.0,44.515642469806124,501721000.0
2002-11-29,46.7,50.36,43.9,47.25641287195734,299496500.0,2002,11,45.57623505313285,414414900.0,44.22851999512866,295894000.0,44.308085393639175,287418500.0
2002-12-31,48.91,53.02,46.56,48.955918807952784,293776400.0,2002,12,47.25641287195734,299496500.0,45.57623505313285,414414900.0,44.22851999512866,295894000.0
2003-01-31,48.34,53.7,48.09,51.39630343267524,287503700.0,2003,1,48.955918807952784,293776400.0,47.25641287195734,299496500.0,45.57623505313285,414414900.0
2003-02-28,51.06,54.7,50.7,54.4853411558489,203302200.0,2003,2,51.39630343267524,287503700.0,48.955918807952784,293776400.0,47.25641287195734,299496500.0
2003-03-31,54.75,59.06,53.58,57.782221325131204,239294000.0,2003,3,54.4853411558489,203302200.0,51.39630343267524,287503700.0,48.955918807952784,293776400.0
2003-04-30,57.92,64.45,56.9,61.10501888947957,226554800.0,2003,4,57.782221325131204,239294000.0,54.4853411558489,203302200.0,51.39630343267524,287503700.0
2003-05-30,61.27,64.9,59.35,64.02168894601456,223201700.0,2003,5,61.10501888947957,226554800.0,57.782221325131204,239294000.0,54.4853411558489,203302200.0
